"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","4,817,678","*****","728,300","*****","6,561,516","*****","2,947,036","*****","38,066,920","*****","5,197,580","*****","3,592,053","*****","917,060","*****","633,736","*****","19,361,792","*****","9,907,756","*****","1,392,704","*****","1,599,464","*****","12,868,747","*****","6,542,411","*****","3,078,116","*****","2,882,946","*****","4,383,272","*****","4,601,049","*****","1,328,535","*****","5,887,776","*****","6,657,291","*****","9,889,024","*****","5,383,661","*****","2,984,345","*****","6,028,076","*****","1,006,370","*****","1,855,617","*****","2,761,584","*****","1,321,069","*****","8,874,374","*****","2,080,085","*****","19,594,330","*****","9,750,405","*****","704,925","*****","11,560,380","*****","3,818,851","*****","3,900,343","*****","12,758,729","*****","1,053,252","*****","4,727,273","*****","834,708","*****","6,451,365","*****","26,092,033","*****","2,858,111","*****","626,358","*****","8,185,131","*****","6,899,123","*****","1,853,881","*****","5,724,692","*****","575,251","*****","3,638,965","*****"
"    Not Hispanic or Latino:","4,625,840","±491","683,053","±117","4,584,490","*****","2,748,927","±120","23,532,471","*****","4,108,978","*****","3,079,258","*****","838,462","*****","571,099","*****","14,844,601","±170","9,011,039","±655","1,259,219","*****","1,413,090","*****","10,773,252","±332","6,130,875","±80","2,915,006","±125","2,566,805","±91","4,243,636","±396","4,390,525","±274","1,309,943","*****","5,372,052","*****","5,975,467","±410","9,431,915","±29","5,119,396","±64","2,900,272","±809","5,801,688","±216","974,468","±187","1,675,169","±63","2,009,535","*****","1,280,768","*****","7,224,590","*****","1,101,896","*****","16,034,686","*****","8,901,808","±123","686,675","±32","11,180,838","±85","3,460,935","*****","3,426,614","*****","11,974,167","±39","913,420","*****","4,478,814","±164","808,249","±224","6,141,537","±238","16,129,390","*****","2,478,657","*****","616,132","*****","7,497,866","±341","6,089,125","*****","1,829,820","±300","5,369,400","*****","521,070","*****","37,047","±1,752"
"        White alone","3,206,588","±656","458,284","±283","3,734,853","±858","2,178,191","±774","14,905,601","±3,435","3,605,199","±1,164","2,508,360","±979","590,218","±363","224,184","±250","10,958,680","±3,470","5,448,717","±1,576","318,407","±200","1,333,061","±471","8,088,630","±1,797","5,286,730","±1,063","2,702,644","±501","2,231,182","±373","3,760,868","±983","2,748,538","±655","1,249,385","±393","3,153,084","±984","4,992,644","±1,806","7,526,388","±933","4,421,799","±814","1,718,713","±395","4,851,262","±942","877,713","±169","1,506,879","±403","1,455,192","±653","1,210,946","±522","5,131,568","±2,063","824,291","±640","11,220,383","±2,140","6,294,528","±1,397","618,458","±147","9,311,563","±1,211","2,587,971","±522","3,027,597","±1,236","10,020,439","±1,510","790,922","±841","3,021,819","±624","697,982","±316","4,838,950","±1,225","11,562,453","±2,136","2,279,901","±848","587,883","±170","5,227,415","±1,146","4,921,929","±985","1,718,871","±445","4,733,711","±712","487,918","±181","25,583","±1,356"
"        Black or African American alone","1,263,162","±2,288","23,787","±604","257,620","±2,445","455,402","±1,476","2,155,929","±6,064","198,952","±1,832","342,043","±1,638","193,047","±1,159","308,766","±820","2,979,524","±5,942","3,014,233","±4,073","25,044","±733","8,699","±525","1,822,304","±3,559","589,861","±2,547","93,293","±1,384","162,948","±1,607","340,235","±2,294","1,468,208","±1,762","14,456","±579","1,710,040","±2,932","423,855","±2,507","1,368,159","±3,519","285,362","±2,207","1,109,239","±2,178","690,115","±2,813","4,426","±401","83,932","±1,098","220,503","±2,006","14,488","±682","1,133,259","±3,081","37,519","±803","2,824,566","±4,777","2,062,599","±3,623","10,396","±592","1,388,915","±4,213","272,812","±1,950","67,305","±1,179","1,340,926","±3,271","55,066","±1,298","1,295,991","±2,510","12,289","±529","1,074,696","±2,490","3,015,767","±4,964","28,719","±1,096","6,276","±325","1,549,909","±3,670","240,560","±2,910","58,425","±1,284","351,201","±1,896","5,770","±453","3,037","±445"
"        American Indian and Alaska Native alone","23,152","±1,039","99,892","±1,315","262,626","±1,751","16,689","±943","145,736","±2,746","28,452","±975","4,830","±588","2,420","±369","1,384","±190","42,175","±1,799","18,273","±1,092","1,920","±303","16,803","±793","14,685","±865","12,194","±710","7,867","±553","20,015","±752","7,387","±545","25,498","±964","7,243","±470","12,119","±793","8,106","±632","48,437","±1,279","52,062","±962","11,893","±544","21,697","±1,049","62,992","±758","12,907","±519","24,304","±702","2,139","±301","10,402","±645","177,555","±1,207","47,213","±1,391","106,210","±1,461","36,175","±621","17,010","±840","262,913","±2,699","37,699","±1,188","15,199","±665","3,820","±382","14,156","±808","69,625","±976","13,660","±798","65,974","±2,110","28,134","±854","1,888","±276","17,252","±946","82,247","±1,692","2,884","±486","45,617","±970","11,238","±520","99","±71"
"        Asian alone","57,780","±978","40,357","±918","186,451","±1,999","38,025","±847","5,062,736","±8,006","143,581","±1,619","144,619","±1,301","31,465","±506","22,512","±613","482,166","±3,395","342,506","±2,097","517,525","±3,442","20,747","±935","622,689","±2,373","113,904","±1,569","59,235","±954","72,127","±965","53,004","±1,105","74,878","±950","14,324","±509","342,626","±1,976","382,741","±2,031","257,464","±1,937","229,592","±1,775","27,944","±909","100,628","±1,398","6,484","±456","35,325","±626","203,924","±1,955","30,371","±771","775,252","±2,420","26,991","±712","1,511,457","±4,299","229,891","±1,733","8,046","±400","207,041","±1,616","70,171","±1,001","149,886","±1,512","374,994","±1,852","32,433","±648","62,570","±1,109","9,408","±415","97,857","±1,488","1,053,474","±4,234","59,852","±1,048","8,141","±352","472,435","±3,182","513,813","±3,072","12,991","±574","136,534","±1,188","5,242","±482","2,288","±540"
"        Native Hawaiian and Other Pacific Islander alone","1,284","±256","7,994","±304","11,720","±588","6,178","±455","136,464","±1,879","5,921","±453","879","±214","169","±88","186","±105","10,880","±734","3,716","±462","127,902","±1,915","2,032","±354","2,564","±336","1,599","±305","1,663","±417","1,562","±243","1,933","±405","1,604","±265","192","±99","2,173","±255","1,364","±230","1,757","±275","1,862","±238","363","±118","5,828","±531","659","±186","1,070","±223","16,552","±544","280","±127","2,102","±417","942","±166","4,700","±571","5,512","±724","286","±105","2,561","±382","4,231","±324","13,942","±539","2,023","±426","428","±211","2,260","±413","217","±98","2,872","±475","18,730","±854","25,754","±786","178","±101","4,976","±486","41,074","±935","529","±200","1,176","±265","312","±188","55","±45"
"        Some other race alone","4,678","±875","922","±382","7,032","±933","2,779","±827","81,869","±3,869","7,963","±964","11,587","±1,146","1,794","±509","1,311","±286","51,634","±3,988","20,476","±1,794","1,528","±368","1,168","±453","16,926","±1,603","8,935","±1,235","2,300","±486","2,041","±386","4,159","±798","7,158","±1,003","796","±399","12,513","±1,276","40,597","±2,203","11,526","±1,032","6,271","±937","2,472","±539","7,415","±935","374","±137","1,409","±400","4,110","±737","2,004","±566","38,266","±2,478","3,718","±592","96,258","±3,971","18,389","±1,750","284","±141","14,075","±1,341","2,468","±513","6,134","±1,272","19,180","±2,077","7,534","±1,000","4,426","±809","428","±130","5,782","±922","33,114","±2,486","4,531","±1,024","588","±181","16,733","±1,411","9,001","±1,149","1,388","±436","3,674","±651","163","±112","1,669","±366"
"        Two or more races:","69,196","±2,342","51,817","±1,551","124,188","±4,164","51,663","±1,749","1,044,136","±11,815","118,910","±2,806","66,940","±2,463","19,349","±1,310","12,756","±1,114","319,542","±7,130","163,118","±4,862","266,893","±3,812","30,580","±1,354","205,454","±4,874","117,652","±3,267","48,004","±1,666","76,930","±2,065","76,050","±2,496","64,641","±2,249","23,547","±862","139,497","±3,793","126,160","±3,202","218,184","±4,610","122,448","±2,964","29,648","±1,882","124,743","±2,979","21,820","±977","33,647","±1,256","84,950","±3,043","20,540","±903","133,741","±3,698","30,880","±1,580","330,109","±6,102","184,679","±4,440","13,030","±852","239,673","±4,407","260,369","±3,628","124,051","±2,420","201,406","±3,940","23,217","±1,630","77,592","±3,023","18,300","±1,062","107,720","±3,101","379,878","±6,688","51,766","±1,935","11,178","±447","209,146","±4,817","280,501","±4,742","34,732","±1,469","97,487","±2,504","10,427","±811","4,316","±481"
"            Two races including Some other race","2,433","±616","435","±248","4,651","±744","884","±299","54,818","±2,610","3,641","±621","4,970","±701","714","±234","836","±264","22,016","±1,621","7,967","±1,018","2,357","±458","822","±275","9,977","±820","4,092","±649","1,029","±255","1,415","±260","1,777","±367","2,771","±504","465","±155","5,885","±775","15,630","±1,091","7,710","±734","3,532","±575","772","±273","2,565","±584","132","±68","792","±240","2,316","±614","938","±303","14,633","±1,232","1,623","±380","36,176","±2,111","6,003","±821","125","±63","6,285","±903","1,830","±329","3,117","±651","8,741","±898","3,719","±688","1,990","±475","384","±121","3,371","±708","19,749","±1,660","1,503","±340","240","±79","7,226","±894","5,890","±857","647","±207","2,465","±431","287","±163","144","±97"
